Case Name,Filing Year,Description,Case Categories,Principal Laws
Defenders of Wildlife v. Jewell,2014,"Challenge to withdrawal of proposal to list the distinct population segment of the North American wolverine as threatened.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
"Alon Refining Krotz Springs, Inc. v. EPA",2016,Challenge to EPA Renewable Fuel Standard (RFS) rulemakings.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)
Colorado River Indian Tribes v. Department of Interior,2014,Challenge to variance for solar power project.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|National Historic Preservation Act (NHPA)|Federal Land Policy and Management Act (FLPMA)
Reyes v. EPA,2010,"Action by Utah attorney general seeking documents concerning EPA’s endangerment finding.
",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Wegman v. Mashey,2014,"Action against climate science writer seeking damages for tortious interference with contract and conspiracy.
",Climate Change Protesters and Scientists>Scientists,Tortious Interference|Conspiracy
Commonwealth of Massachusetts v. Ward,2013,"Criminal charges against protestors who used a lobster boat to block a coal shipment to coal-fired power plant.
",Climate Change Protesters and Scientists>Protesters,State Law—Criminal Law|Necessity/Justification Defense
Conservation Law Foundation v. McCarthy,2011,"Challenge to EPA’s oversight of water quality management on Cape Cod.
",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures,Clean Water Act (CWA)
Conservation Law Foundation v. EPA,2013,"Challenge to TMDLs for Cape Cod and Nantucket embayments.
",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures,Clean Water Act (CWA)
Conservation Law Foundation v. EPA,2010,"Challenge to TMDLs for Cape Cod and Nantucket embayments.
",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures,Clean Water Act (CWA)
United States v. Miami-Dade County,2012,"Enforcement suit alleging violations of Clean Water Act in which Biscayne Bay Waterkeeper and Key Biscayne resident intervened to request, among other things, that climate change impacts be considered.
",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures,Clean Water Act (CWA)|Florida Air and Water Pollution Control Act
Borough of Harvey Cedars v. Karan,2008,"Action to determine just compensation for partial taking to construct dune for storm protection.
",Adaptation>Challenges to adaptation measures,Fifth Amendment—Takings|State Constitutions>New Jersey Constitution
Petrozzi v. City of Ocean City,2005,"Suit against City of Ocean City for breaching easement obligation to abide by dune height limitation.
",Adaptation>Challenges to adaptation measures,Fifth Amendment—Takings|Contract Law|State Law—Miscellaneous Statutes>New Jersey Coastal Area Facility Review Act
Mississippi Insurance Department v. U.S. Department of Homeland Security,2013,"Challenge to implementation of increased rates for the National Flood Insurance Program.
",Adaptation>Challenges to adaptation measures|Federal Statutory Claims>Other Statutes and Regulations,Administrative Procedure Act (APA)|Biggert-Waters Flood Insurance Reform and Modernization Act of 2012|Homeowner Flood Insurance Affordability Act of 2014
Illinois Farmers Insurance Co. v. Metropolitan Water Reclamation District of Greater Chicago,2014,"Lawsuits brought by insurers contending that they had to make larger payments to property owners who suffered flooding as result of municipalities’ failure to implement reasonable stormwater management practices.
",Adaptation>Insurance cases|Constitutional Claims>Fifth Amendment,Fifth Amendment—Takings|State Law—Miscellaneous Statutes>Illinois Local Governmental and Governmental Employees Tort Immunity Act|State Constitutions>Illinois State Constitution
"Residents for Sane Trash Solutions, Inc. v. United States Army Corps of Engineers",2012,"Challenge to Corps wetlands permit for solid waste marine transfer station on East River in New York City.
",Adaptation>Reverse Impact Assessment|Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures,Clean Water Act (CWA)
Borough of Harvey Cedars v. Groisser,2009,Action to determine compensation for the loss of ocean view resulting from an easement required for public construction of a dune system designed to protect properties from extreme weather.,Adaptation>Challenges to adaptation measures,Fifth Amendment—Takings|State Constitutions>New Jersey Constitution
Wohl v. City of New York,2012,"Negligence action against City of New York for flooding damage during storms.
",Adaptation>Actions seeking money damages for losses,State Law—Negligence
Carolan v. Township of Long Beach,2014,"Challenge to easements for flood hazard risk reduction measures.
",Constitutional Claims>Fifth Amendment|Adaptation>Challenges to adaptation measures,Fifth Amendment—Takings|State Constitutions>New Jersey Constitution|State Law—Miscellaneous Statutes>New Jersey Eminent Domain Act|State Law—Miscellaneous Statutes>New Jersey Disaster Control Act
"Margate City, New Jersey v. United States Army Corps of Engineers",2014,"Challenge to dune project planned for city beaches.
",Adaptation>Challenges to adaptation measures,Fifth Amendment—Due Process|State Law—Trespass|State Law—Miscellaneous Statutes>New Jersey Eminent Domain Act|Uniform Relocation Assistance and Real Property Acquisition Policies Act of 1970
"Tzakis v. Berger Excavating Contractors, Inc.",2009,"Action against defendants, including municipal defendants, whose actions or inaction allegedly contributed to property damage during floods in 2008.",Adaptation>Actions seeking money damages for losses,Fifth Amendment—Takings|State Law—Nuisance|State Law—Negligence|State Law—Trespass|State Law—Miscellaneous Statutes>Illinois Local Governmental and Governmental Employees Tort Immunity Act|State Constitutions>Illinois State Constitution
Emerick v. Town of Glastonbury,2011,Action seeking relief for property damage allegedly caused by upstream development approved by town.,Common Law Claims,State Law—Nuisance|State Law—Trespass|State Law—Intentional Infliction of Emotional Distress
In re Katrina Canal Breaches Litigation,2005,"Action seeking damages from Army Corps of Engineers for exacerbation of flooding damage during and after Hurricane Katrina.
",Adaptation>Actions seeking money damages for losses,Admiralty Law|Flood Control Act of 1928|Federal Tort Claims Act
United States v. Metropolitan Water Reclamation District of Greater Chicago,2011,"Enforcement suit alleging violations of Clean Water Act related to combined sewer overflows in Chicago area in violation of NPDES permits.
",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures,Clean Water Act (CWA)
Center for Biological Diversity v. Norton,2005,Action to compel response to petition to list polar bear as a threatened species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
In re Polar Bear Endangered Species Act Listing and § 4(d) Rule Litigation,2008,"Challenge to listing of polar bear as threatened species under the Endangered Species Act and to Section 4(d) rule establishing measures to protect polar bears.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Marine Mammal Protection Act (MMPA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. Lubchenco,2009,Challenge to decision not to list the ribbon seal as endangered or threatened.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Conservancy of Southwest Florida v. U.S. Fish &amp; Wildlife Service,2010,"Challenge to denial of petitions to designate critical habitat for Florida panther.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Colorado River Cutthroat Trout v. Salazar,2009,Challenge to the U.S. Fish and Wildlife Service's decision not to list the Colorado River cutthroat trout as endangered or threatened.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Salazar,2007,"Challenge to failure of government agencies to respond to petition seeking a conservation plan for species threatened by climate change.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Jewell,2013,"Action to compel findings as to endangered or threatened status of nine species.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Kempthorne,2007,Action to compel proposed rule on listing yellow-billed loon under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Jewell,2014,Consolidated actions to compel responses to petitions to list Alexander Archipelago wolf and other species under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Zinke,2012,"Challenge to determination that the Sonoran Desert population of bald eagles did not constitute a distinct population segment and was not eligible for protection under the Endangered Species Act.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2015,Challenge to designation of Gunnison sage-grouse as threatened rather than endangered.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
